arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/django/django\setup.py,55,21,34,9,0,12,0.0,85.92155808665765
clones/django/django\django\shortcuts.py,189,74,98,9,48,32,3.875,69.66828649978423
clones/django/django\django\__init__.py,24,13,14,0,5,5,3.0,98.19398090535667
clones/django/django\django\__main__.py,9,4,3,0,4,2,0.0,100.0
clones/django/django\django\apps\config.py,274,128,163,55,19,35,5.454545454545454,55.35429794910779
clones/django/django\django\apps\registry.py,437,203,209,56,88,79,3.619047619047619,48.81336311401934
clones/django/django\django\apps\__init__.py,4,3,3,0,0,1,0.0,100.0
clones/django/django\django\conf\global_settings.py,667,150,297,276,4,116,1.0,64.06058428969266
clones/django/django\django\conf\__init__.py,272,147,167,16,38,47,2.72,52.503312147713565
clones/django/django\django\conf\locale\ar\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ar_DZ\formats.py,29,14,22,12,0,1,0.0,100.0
clones/django/django\django\conf\locale\ar_DZ\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\az\formats.py,30,13,23,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\az\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\bg\formats.py,21,6,6,15,0,1,0.0,100.0
clones/django/django\django\conf\locale\bg\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\bn\formats.py,32,11,22,18,0,1,0.0,100.0
clones/django/django\django\conf\locale\bn\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\bs\formats.py,21,8,8,12,0,1,0.0,100.0
clones/django/django\django\conf\locale\bs\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ca\formats.py,30,13,23,9,0,1,0.0,100.0
clones/django/django\django\conf\locale\ca\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ckb\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\cs\formats.py,43,14,35,27,0,1,0.0,100.0
clones/django/django\django\conf\locale\cs\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\cy\formats.py,33,13,26,25,0,1,0.0,100.0
clones/django/django\django\conf\locale\cy\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\da\formats.py,26,13,19,10,0,1,0.0,100.0
clones/django/django\django\conf\locale\da\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\de\formats.py,29,13,22,14,0,1,0.0,100.0
clones/django/django\django\conf\locale\de\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\de_CH\formats.py,35,13,22,20,0,2,0.0,100.0
clones/django/django\django\conf\locale\de_CH\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\el\formats.py,34,13,27,19,0,1,0.0,100.0
clones/django/django\django\conf\locale\el\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\en\formats.py,65,14,40,45,0,3,0.0,100.0
clones/django/django\django\conf\locale\en\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\en_AU\formats.py,41,13,34,33,0,1,0.0,100.0
clones/django/django\django\conf\locale\en_AU\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\en_GB\formats.py,41,13,34,33,0,1,0.0,100.0
clones/django/django\django\conf\locale\en_GB\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\en_IE\formats.py,37,13,30,29,0,1,0.0,100.0
clones/django/django\django\conf\locale\en_IE\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\eo\formats.py,44,14,37,35,0,1,0.0,100.0
clones/django/django\django\conf\locale\eo\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es\formats.py,30,13,23,10,0,1,0.0,100.0
clones/django/django\django\conf\locale\es\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_AR\formats.py,30,13,23,9,0,1,0.0,100.0
clones/django/django\django\conf\locale\es_AR\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_CO\formats.py,26,13,24,5,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_CO\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_MX\formats.py,26,13,24,7,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_MX\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_NI\formats.py,26,13,24,6,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_NI\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_PR\formats.py,27,13,23,5,0,2,0.0,100.0
clones/django/django\django\conf\locale\es_PR\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\et\formats.py,21,6,6,15,0,1,0.0,100.0
clones/django/django\django\conf\locale\et\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\eu\formats.py,21,11,11,10,0,1,0.0,100.0
clones/django/django\django\conf\locale\eu\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fa\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fi\formats.py,36,14,28,19,0,2,0.0,100.0
clones/django/django\django\conf\locale\fi\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fr\formats.py,27,13,20,13,0,1,0.0,100.0
clones/django/django\django\conf\locale\fr\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fr_BE\formats.py,32,13,25,18,0,1,0.0,100.0
