arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/django/django\django\apps\config.py,AppConfig,10,1,0,37,0,44
clones/django/django\django\apps\registry.py,Apps,20,1,0,68,0,135
clones/django/django\django\conf\__init__.py,SettingsReference,2,1,0,3,0,1
clones/django/django\django\conf\__init__.py,LazySettings,10,1,0,33,3,35
clones/django/django\django\conf\__init__.py,Settings,3,1,0,21,1,3
clones/django/django\django\conf\__init__.py,UserSettingsHolder,7,1,0,19,2,20
clones/django/django\django\contrib\admin\apps.py,SimpleAdminConfig,1,1,1,2,0,0
clones/django/django\django\contrib\admin\apps.py,AdminConfig,1,2,0,4,1,0
clones/django/django\django\contrib\admin\checks.py,BaseModelAdminChecks,27,1,2,74,0,0
clones/django/django\django\contrib\admin\checks.py,ModelAdminChecks,20,2,0,61,1,0
clones/django/django\django\contrib\admin\checks.py,InlineModelAdminChecks,7,2,0,22,2,0
clones/django/django\django\contrib\admin\exceptions.py,DisallowedModelAdminLookup,0,1,0,0,0,0
clones/django/django\django\contrib\admin\exceptions.py,DisallowedModelAdminToField,0,1,0,0,0,0
clones/django/django\django\contrib\admin\filters.py,ListFilter,5,1,2,7,0,10
clones/django/django\django\contrib\admin\filters.py,SimpleListFilter,6,2,0,19,1,12
clones/django/django\django\contrib\admin\filters.py,FieldListFilter,5,2,6,17,2,10
clones/django/django\django\contrib\admin\filters.py,RelatedFieldListFilter,7,3,1,22,2,15
clones/django/django\django\contrib\admin\filters.py,BooleanFieldListFilter,3,3,0,11,1,3
clones/django/django\django\contrib\admin\filters.py,ChoicesFieldListFilter,3,3,0,10,1,3
clones/django/django\django\contrib\admin\filters.py,DateFieldListFilter,3,3,0,18,1,3
clones/django/django\django\contrib\admin\filters.py,AllValuesFieldListFilter,3,3,0,17,1,3
clones/django/django\django\contrib\admin\filters.py,RelatedOnlyFieldListFilter,1,4,0,6,1,0
clones/django/django\django\contrib\admin\filters.py,EmptyFieldListFilter,4,3,0,14,1,6
clones/django/django\django\contrib\admin\forms.py,AdminAuthenticationForm,1,1,0,4,0,0
clones/django/django\django\contrib\admin\forms.py,AdminPasswordChangeForm,0,1,0,0,0,0
clones/django/django\django\contrib\admin\helpers.py,ActionForm,0,1,0,0,0,0
clones/django/django\django\contrib\admin\helpers.py,AdminForm,6,1,1,8,0,15
clones/django/django\django\contrib\admin\helpers.py,Fieldset,3,1,1,6,0,3
clones/django/django\django\contrib\admin\helpers.py,Fieldline,3,1,0,13,0,3
clones/django/django\django\contrib\admin\helpers.py,AdminField,3,1,0,10,1,3
clones/django/django\django\contrib\admin\helpers.py,AdminReadonlyField,4,1,0,27,0,6
clones/django/django\django\contrib\admin\helpers.py,InlineAdminFormSet,7,1,0,21,0,21
clones/django/django\django\contrib\admin\helpers.py,InlineAdminForm,7,2,0,14,1,21
clones/django/django\django\contrib\admin\helpers.py,InlineFieldset,2,2,0,6,1,1
clones/django/django\django\contrib\admin\helpers.py,AdminErrorList,1,1,0,6,2,0
clones/django/django\django\contrib\admin\models.py,LogEntryManager,1,1,0,5,0,0
clones/django/django\django\contrib\admin\models.py,LogEntry,8,1,0,23,0,22
clones/django/django\django\contrib\admin\models.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\admin\options.py,IncorrectLookupParameters,0,1,0,0,0,0
clones/django/django\django\contrib\admin\options.py,BaseModelAdmin,27,1,2,89,7,260
clones/django/django\django\contrib\admin\options.py,ModelAdmin,67,2,0,240,16,780
clones/django/django\django\contrib\admin\options.py,InlineModelAdmin,13,2,2,55,10,23
clones/django/django\django\contrib\admin\options.py,StackedInline,0,3,0,0,0,0
clones/django/django\django\contrib\admin\options.py,TabularInline,0,3,0,0,0,0
clones/django/django\django\contrib\admin\sites.py,AlreadyRegistered,0,1,0,0,0,0
clones/django/django\django\contrib\admin\sites.py,NotRegistered,0,1,0,0,0,0
clones/django/django\django\contrib\admin\sites.py,AdminSite,26,1,0,81,0,289
clones/django/django\django\contrib\admin\sites.py,DefaultAdminSite,2,1,0,6,0,1
clones/django/django\django\contrib\admin\tests.py,CSPMiddleware,1,1,0,1,0,0
clones/django/django\django\contrib\admin\tests.py,AdminSeleniumTestCase,17,1,0,46,0,130
clones/django/django\django\contrib\admin\utils.py,FieldIsAForeignKeyColumnName,0,1,0,0,0,0
clones/django/django\django\contrib\admin\utils.py,NestedObjects,7,1,0,25,0,6
clones/django/django\django\contrib\admin\utils.py,NotRelationField,0,1,0,0,0,0
clones/django/django\django\contrib\admin\widgets.py,FilteredSelectMultiple,2,1,0,6,2,0
clones/django/django\django\contrib\admin\widgets.py,Media,0,1,0,0,0,0
clones/django/django\django\contrib\admin\widgets.py,AdminDateWidget,1,1,0,3,1,0
clones/django/django\django\contrib\admin\widgets.py,AdminTimeWidget,1,1,0,3,1,0
clones/django/django\django\contrib\admin\widgets.py,AdminSplitDateTime,2,1,0,6,2,0
clones/django/django\django\contrib\admin\widgets.py,AdminRadioSelect,0,1,0,0,0,0
clones/django/django\django\contrib\admin\widgets.py,AdminFileWidget,0,1,0,0,0,0
clones/django/django\django\contrib\admin\widgets.py,ForeignKeyRawIdWidget,5,1,1,26,4,0
clones/django/django\django\contrib\admin\widgets.py,ManyToManyRawIdWidget,5,2,0,12,2,9
clones/django/django\django\contrib\admin\widgets.py,RelatedFieldWidgetWrapper,9,1,0,21,1,30
clones/django/django\django\contrib\admin\widgets.py,AdminTextareaWidget,1,1,0,3,1,0
clones/django/django\django\contrib\admin\widgets.py,AdminTextInputWidget,1,1,0,3,1,0
clones/django/django\django\contrib\admin\widgets.py,AdminEmailInputWidget,1,1,0,3,1,0
clones/django/django\django\contrib\admin\widgets.py,AdminURLFieldWidget,2,1,0,9,2,0
clones/django/django\django\contrib\admin\widgets.py,AdminIntegerFieldWidget,1,1,1,3,1,0
clones/django/django\django\contrib\admin\widgets.py,AdminBigIntegerFieldWidget,0,2,0,0,0,0
clones/django/django\django\contrib\admin\widgets.py,AdminUUIDInputWidget,1,1,0,3,1,0
clones/django/django\django\contrib\admin\widgets.py,AutocompleteMixin,5,1,2,25,0,9
clones/django/django\django\contrib\admin\widgets.py,AutocompleteSelect,0,2,0,0,0,0
clones/django/django\django\contrib\admin\widgets.py,AutocompleteSelectMultiple,0,2,0,0,0,0
clones/django/django\django\contrib\admin\migrations\0001_initial.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\admin\templatetags\admin_list.py,ResultList,1,1,0,3,0,0
clones/django/django\django\contrib\admin\templatetags\base.py,InclusionAdminNode,2,1,0,10,0,0
clones/django/django\django\contrib\admin\templatetags\log.py,AdminLogNode,3,1,0,8,0,3
clones/django/django\django\contrib\admin\views\autocomplete.py,AutocompleteJsonView,6,1,0,28,0,0
clones/django/django\django\contrib\admin\views\main.py,ChangeListSearchForm,1,1,0,4,1,0
clones/django/django\django\contrib\admin\views\main.py,ChangeList,15,1,0,94,0,50
clones/django/django\django\contrib\admindocs\apps.py,AdminDocsConfig,0,1,0,0,0,0
