arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/django/django\setup.py,76,24,49,8,0,19,0.0,79.46274258622525
clones/django/django\django\shortcuts.py,140,54,55,9,48,28,3.6666666666666665,70.13391090817774
clones/django/django\django\__init__.py,24,13,14,0,5,5,3.0,98.19398090535667
clones/django/django\django\__main__.py,9,4,3,0,4,2,0.0,100.0
clones/django/django\django\apps\config.py,292,135,179,60,19,32,7.0,54.153908542257646
clones/django/django\django\apps\registry.py,428,202,201,56,88,78,3.619047619047619,48.705617679767194
clones/django/django\django\apps\__init__.py,4,3,3,0,0,1,0.0,100.0
clones/django/django\django\bin\django-admin.py,21,9,16,2,0,3,0.0,93.59482345340422
clones/django/django\django\conf\global_settings.py,651,149,280,270,4,117,1.0,63.63256062485658
clones/django/django\django\conf\__init__.py,280,161,178,15,38,45,2.88,49.90330254412061
clones/django/django\django\conf\locale\ar\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ar_DZ\formats.py,29,14,22,12,0,1,0.0,100.0
clones/django/django\django\conf\locale\ar_DZ\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\az\formats.py,30,13,23,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\az\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\bg\formats.py,21,6,6,15,0,1,0.0,100.0
clones/django/django\django\conf\locale\bg\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\bn\formats.py,32,11,22,18,0,1,0.0,100.0
clones/django/django\django\conf\locale\bn\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\bs\formats.py,21,8,8,12,0,1,0.0,100.0
clones/django/django\django\conf\locale\bs\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ca\formats.py,30,13,23,8,0,1,0.0,100.0
clones/django/django\django\conf\locale\ca\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\cs\formats.py,40,14,32,24,0,1,0.0,100.0
clones/django/django\django\conf\locale\cs\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\cy\formats.py,32,13,25,24,0,1,0.0,100.0
clones/django/django\django\conf\locale\cy\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\da\formats.py,26,13,19,10,0,1,0.0,100.0
clones/django/django\django\conf\locale\da\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\de\formats.py,27,13,20,12,0,1,0.0,100.0
clones/django/django\django\conf\locale\de\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\de_CH\formats.py,33,13,20,18,0,2,0.0,100.0
clones/django/django\django\conf\locale\de_CH\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\el\formats.py,32,13,25,17,0,1,0.0,100.0
clones/django/django\django\conf\locale\el\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\en\formats.py,37,13,29,22,0,1,0.0,100.0
clones/django/django\django\conf\locale\en\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\en_AU\formats.py,36,13,29,28,0,1,0.0,100.0
clones/django/django\django\conf\locale\en_AU\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\en_GB\formats.py,36,13,29,28,0,1,0.0,100.0
clones/django/django\django\conf\locale\en_GB\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\eo\formats.py,47,14,37,35,0,4,0.0,100.0
clones/django/django\django\conf\locale\eo\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es\formats.py,30,13,23,8,0,1,0.0,100.0
clones/django/django\django\conf\locale\es\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_AR\formats.py,30,13,23,9,0,1,0.0,100.0
clones/django/django\django\conf\locale\es_AR\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_CO\formats.py,26,13,23,4,0,1,0.0,100.0
clones/django/django\django\conf\locale\es_CO\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_MX\formats.py,25,13,23,6,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_MX\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_NI\formats.py,26,13,23,5,0,1,0.0,100.0
clones/django/django\django\conf\locale\es_NI\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\es_PR\formats.py,27,13,23,4,0,2,0.0,100.0
clones/django/django\django\conf\locale\es_PR\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\et\formats.py,21,6,6,15,0,1,0.0,100.0
clones/django/django\django\conf\locale\et\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\eu\formats.py,21,11,11,10,0,1,0.0,100.0
clones/django/django\django\conf\locale\eu\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fa\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fi\formats.py,37,14,28,19,0,3,0.0,100.0
clones/django/django\django\conf\locale\fi\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fr\formats.py,31,13,24,17,0,1,0.0,100.0
clones/django/django\django\conf\locale\fr\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\fy\formats.py,21,0,0,20,0,1,0.0,100.0
clones/django/django\django\conf\locale\fy\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ga\formats.py,21,6,6,14,0,1,0.0,100.0
clones/django/django\django\conf\locale\ga\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\gd\formats.py,21,9,9,12,0,1,0.0,100.0
clones/django/django\django\conf\locale\gd\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\gl\formats.py,21,10,10,11,0,1,0.0,100.0
clones/django/django\django\conf\locale\gl\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\he\formats.py,21,9,9,11,0,1,0.0,100.0
clones/django/django\django\conf\locale\he\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\hi\formats.py,21,6,6,14,0,1,0.0,100.0
clones/django/django\django\conf\locale\hi\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\hr\formats.py,42,13,33,25,0,2,0.0,100.0
clones/django/django\django\conf\locale\hr\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\hu\formats.py,30,14,23,14,0,1,0.0,100.0
clones/django/django\django\conf\locale\hu\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\id\formats.py,46,14,36,26,0,4,0.0,100.0
clones/django/django\django\conf\locale\id\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ig\formats.py,32,13,25,17,0,1,0.0,100.0
clones/django/django\django\conf\locale\ig\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\is\formats.py,21,8,8,12,0,1,0.0,100.0
clones/django/django\django\conf\locale\is\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\it\formats.py,40,13,33,32,0,1,0.0,100.0
clones/django/django\django\conf\locale\it\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ja\formats.py,21,9,9,11,0,1,0.0,100.0
clones/django/django\django\conf\locale\ja\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ka\formats.py,42,13,34,27,0,1,0.0,100.0
clones/django/django\django\conf\locale\ka\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\km\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\kn\formats.py,21,4,4,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\kn\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ko\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ky\formats.py,32,13,25,18,0,1,0.0,100.0
clones/django/django\django\conf\locale\ky\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\lt\formats.py,43,14,36,26,0,1,0.0,100.0
clones/django/django\django\conf\locale\lt\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\lv\formats.py,44,14,36,28,0,1,0.0,100.0
clones/django/django\django\conf\locale\lv\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\mk\formats.py,38,13,29,20,0,3,0.0,100.0
clones/django/django\django\conf\locale\mk\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ml\formats.py,37,13,29,22,0,1,0.0,100.0
clones/django/django\django\conf\locale\ml\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\mn\formats.py,21,3,3,17,0,1,0.0,100.0
clones/django/django\django\conf\locale\mn\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\nb\formats.py,36,13,28,22,0,1,0.0,100.0
clones/django/django\django\conf\locale\nb\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\nl\formats.py,66,14,58,52,0,1,0.0,100.0
clones/django/django\django\conf\locale\nl\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\nn\formats.py,36,13,28,22,0,1,0.0,100.0
clones/django/django\django\conf\locale\nn\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\pl\formats.py,28,13,21,13,0,1,0.0,100.0
clones/django/django\django\conf\locale\pl\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\pt\formats.py,35,13,27,20,0,1,0.0,100.0
clones/django/django\django\conf\locale\pt\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\pt_BR\formats.py,31,13,24,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\pt_BR\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ro\formats.py,35,14,28,6,0,1,0.0,100.0
clones/django/django\django\conf\locale\ro\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ru\formats.py,30,13,23,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\ru\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\sk\formats.py,28,13,21,14,0,1,0.0,100.0
clones/django/django\django\conf\locale\sk\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\sl\formats.py,42,13,33,24,0,3,0.0,100.0
clones/django/django\django\conf\locale\sl\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\sq\formats.py,21,7,7,13,0,1,0.0,100.0
clones/django/django\django\conf\locale\sq\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\sr\formats.py,39,13,32,23,0,1,0.0,100.0
clones/django/django\django\conf\locale\sr\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\sr_Latn\formats.py,39,13,32,23,0,1,0.0,100.0
clones/django/django\django\conf\locale\sr_Latn\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\sv\formats.py,35,13,27,20,0,1,0.0,100.0
clones/django/django\django\conf\locale\sv\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\ta\formats.py,21,4,4,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\ta\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\te\formats.py,21,4,4,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\te\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\tg\formats.py,32,13,25,18,0,1,0.0,100.0
clones/django/django\django\conf\locale\tg\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\th\formats.py,33,14,26,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\th\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\tk\formats.py,32,13,25,18,0,1,0.0,100.0
clones/django/django\django\conf\locale\tk\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\tr\formats.py,28,13,21,13,0,1,0.0,100.0
clones/django/django\django\conf\locale\tr\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\uk\formats.py,35,14,28,19,0,1,0.0,100.0
clones/django/django\django\conf\locale\uk\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\uz\formats.py,30,13,23,16,0,1,0.0,100.0
clones/django/django\django\conf\locale\uz\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\vi\formats.py,21,9,9,11,0,1,0.0,100.0
clones/django/django\django\conf\locale\vi\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\zh_Hans\formats.py,42,14,32,29,0,4,0.0,100.0
clones/django/django\django\conf\locale\zh_Hans\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\locale\zh_Hant\formats.py,42,14,32,29,0,4,0.0,100.0
clones/django/django\django\conf\locale\zh_Hant\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\conf\urls\i18n.py,39,17,22,0,10,7,2.5,99.31245979744233
clones/django/django\django\conf\urls\static.py,28,13,14,1,8,5,4.0,93.77204508644319
clones/django/django\django\conf\urls\__init__.py,22,12,17,0,0,5,1.0,100.0
clones/django/django\django\contrib\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\admin\actions.py,79,36,49,6,10,14,9.0,78.04346003130573
clones/django/django\django\contrib\admin\apps.py,26,18,16,0,0,8,1.5,100.0
clones/django/django\django\contrib\admin\checks.py,1137,562,914,22,64,116,3.890625,1.589621653563927
clones/django/django\django\contrib\admin\decorators.py,30,15,14,0,8,8,1.0,93.629158602789
clones/django/django\django\contrib\admin\exceptions.py,11,7,5,0,0,4,1.0,100.0
clones/django/django\django\contrib\admin\filters.py,476,283,357,16,35,70,2.42,33.05301620154386
clones/django/django\django\contrib\admin\forms.py,30,15,22,0,3,5,2.0,92.08657862666348
clones/django/django\django\contrib\admin\helpers.py,424,273,354,14,6,56,3.2222222222222223,25.365020148649137
clones/django/django\django\contrib\admin\sites.py,539,268,323,42,97,81,3.1785714285714284,43.14154288383085
clones/django/django\django\contrib\admin\tests.py,193,102,111,4,55,22,1.2105263157894737,68.11265363786069
clones/django/django\django\contrib\admin\utils.py,551,372,378,27,70,76,4.633333333333334,32.80830063266007
clones/django/django\django\contrib\admin\widgets.py,471,285,337,15,38,82,2.4035087719298245,34.979751754364436
clones/django/django\django\contrib\admin\__init__.py,24,8,21,0,0,3,1.0,100.0
clones/django/django\django\contrib\admin\migrations\0001_initial.py,47,7,43,0,0,4,1.0,100.0
clones/django/django\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py,22,5,17,1,0,4,1.0,100.0
clones/django/django\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py,20,4,15,1,0,4,1.0,100.0
clones/django/django\django\contrib\admin\migrations\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\admin\templatetags\admin_list.py,466,265,354,23,33,59,4.666666666666667,36.45619870921721
clones/django/django\django\contrib\admin\templatetags\admin_modify.py,116,65,88,3,7,17,6.666666666666667,56.15728200463953
clones/django/django\django\contrib\admin\templatetags\admin_urls.py,56,41,41,0,0,15,3.6666666666666665,49.54550307429324
clones/django/django\django\contrib\admin\templatetags\base.py,33,17,22,2,4,5,1.3333333333333333,88.75215155061595
clones/django/django\django\contrib\admin\templatetags\log.py,59,33,35,0,12,12,3.0,78.91030313636148
clones/django/django\django\contrib\admin\templatetags\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\admin\views\autocomplete.py,51,31,33,0,7,7,2.2,81.30905667760713
clones/django/django\django\contrib\admin\views\decorators.py,18,9,12,0,4,2,3.0,100.0
clones/django/django\django\contrib\admin\views\main.py,526,352,390,73,27,40,8.470588235294118,29.889041990596
clones/django/django\django\contrib\admin\views\__init__.py,0,0,0,0,0,0,0.0,100.0
clones/django/django\django\contrib\admindocs\apps.py,7,5,5,0,0,2,1.0,100.0
clones/django/django\django\contrib\admindocs\middleware.py,28,13,16,0,9,3,6.5,91.69409100485967
clones/django/django\django\contrib\admindocs\urls.py,50,3,49,0,0,1,0.0,100.0
clones/django/django\django\contrib\admindocs\utils.py,228,130,156,23,20,28,5.428571428571429,54.91471042759787
