arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\conftest.py,107,56,77,13,0,18,5.75,66.12552124070892
clones/scikit-learn/scikit-learn\setup.py,305,131,200,48,5,56,6.125,57.09494121071231
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\cluster.py,100,50,69,0,6,25,1.6,66.80101527233616
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\common.py,235,162,159,6,4,57,1.8,42.80787630024663
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\datasets.py,146,99,112,2,0,32,1.1,49.388996528350376
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\decomposition.py,94,46,57,0,9,28,1.2,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\ensemble.py,115,59,72,1,9,34,1.4666666666666666,69.3673722665365
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,250,138,160,0,18,72,1.6666666666666667,49.58525886706741
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\manifold.py,34,22,19,0,3,12,1.4,86.61352622843042
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\metrics.py,45,29,31,0,3,11,3.0,71.68982996362357
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\model_selection.py,86,51,53,0,6,27,1.4,72.03488828417424
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\neighbors.py,42,24,26,0,3,13,2.0,78.49553980185337
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\svm.py,32,18,21,0,0,10,1.2,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\utils.py,44,24,29,0,0,15,1.0,56.58813718062828
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\__init__.py,1,1,0,0,0,0,0.0,100.0
clones/scikit-learn/scikit-learn\benchmarks\bench_20newsgroups.py,94,63,78,2,0,14,0.0,54.3380658609933
clones/scikit-learn/scikit-learn\benchmarks\bench_covertype.py,189,89,113,9,34,32,1.0,65.93775747524016
clones/scikit-learn/scikit-learn\benchmarks\bench_feature_expansions.py,49,39,41,4,0,6,0.0,68.50768924074342
clones/scikit-learn/scikit-learn\benchmarks\bench_glm.py,57,37,36,0,4,17,0.0,68.83669612454594
clones/scikit-learn/scikit-learn\benchmarks\bench_glmnet.py,128,88,83,6,13,26,1.0,62.84328947502246
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting.py,264,180,227,4,0,34,7.0,37.09185763879184
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_adult.py,90,58,73,5,0,15,1.5,64.60895727955935
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_categorical_only.py,84,54,67,4,0,15,1.5,65.96308828757351
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_higgsboson.py,118,90,97,2,0,20,1.6666666666666667,51.76545362208421
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_threading.py,316,215,267,4,0,46,5.0,33.3095896335902
clones/scikit-learn/scikit-learn\benchmarks\bench_isolation_forest.py,159,115,103,11,19,27,2.0,61.260487672339366
clones/scikit-learn/scikit-learn\benchmarks\bench_isotonic.py,100,50,64,2,13,21,1.0,71.23269435544522
clones/scikit-learn/scikit-learn\benchmarks\bench_lasso.py,96,59,68,2,10,18,3.0,68.17759767642276
clones/scikit-learn/scikit-learn\benchmarks\bench_lof.py,106,74,68,8,15,17,0.0,67.85497407952788
clones/scikit-learn/scikit-learn\benchmarks\bench_mnist.py,179,87,116,9,24,29,1.0,66.70437814703838
clones/scikit-learn/scikit-learn\benchmarks\bench_multilabel_metrics.py,188,89,128,1,31,28,3.6666666666666665,62.38672589435557
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_fastkmeans.py,136,99,108,2,0,27,3.0,43.809748002046256
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_hierarchical.py,85,54,66,0,0,19,4.0,44.87478597588353
