arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\setup.py,CleanCommand,3,1,0,13,0,3
clones/scikit-learn/scikit-learn\setup.py,build_ext_subclass,3,1,0,12,2,0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\cluster.py,KMeansBenchmark,4,1,0,11,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\cluster.py,MiniBatchKMeansBenchmark,4,1,0,11,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\common.py,Benchmark,1,1,0,1,0,0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\common.py,Estimator,9,1,0,26,0,33
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\common.py,Predictor,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\common.py,Transformer,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\decomposition.py,PCABenchmark,4,1,0,9,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\decomposition.py,DictionaryLearningBenchmark,4,1,0,9,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\decomposition.py,MiniBatchDictionaryLearningBenchmark,4,1,0,9,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\ensemble.py,RandomForestClassifierBenchmark,4,1,0,10,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\ensemble.py,GradientBoostingClassifierBenchmark,4,1,0,10,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\ensemble.py,HistGradientBoostingClassifierBenchmark,4,1,0,9,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,LogisticRegressionBenchmark,4,1,0,10,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,RidgeBenchmark,5,1,0,11,1,10
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,LinearRegressionBenchmark,4,1,0,10,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,SGDRegressorBenchmark,4,1,0,10,1,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,ElasticNetBenchmark,5,1,0,11,1,10
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,LassoBenchmark,5,1,0,11,1,10
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\manifold.py,TSNEBenchmark,4,1,0,8,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\metrics.py,PairwiseDistancesBenchmark,3,1,0,5,0,3
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\model_selection.py,CrossValidationBenchmark,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\model_selection.py,GridSearchBenchmark,4,1,0,10,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\neighbors.py,KNeighborsClassifierBenchmark,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\svm.py,SVCBenchmark,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_nmf.py,_PGNMF,6,1,0,22,0,5
clones/scikit-learn/scikit-learn\doc\conf.py,SubSectionTitleOrder,3,1,0,11,0,3
clones/scikit-learn/scikit-learn\doc\conf.py,SKExampleTitleSortKey,1,1,0,9,1,0
clones/scikit-learn/scikit-learn\doc\sphinxext\allow_nan_estimators.py,AllowNanEstimators,2,1,0,16,0,1
clones/scikit-learn/scikit-learn\doc\sphinxext\sphinx_issues.py,IssueRole,4,1,0,22,0,6
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\parse_path.py,CaselessPreservingLiteral,2,1,0,5,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_Constants,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseBaseException,7,1,2,18,1,21
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseException,0,2,0,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseFatalException,0,2,1,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseSyntaxException,0,3,0,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,RecursiveGrammarException,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_ParseResultsWithOffset,4,1,0,5,0,6
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseResults,42,1,0,95,2,690
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParserElement,60,1,3,139,12,1617
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_UnboundedCache,1,1,0,6,2,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_FifoCache,2,1,0,13,4,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Token,1,2,11,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Empty,1,3,1,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,NoMatch,2,3,0,5,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Literal,2,3,1,9,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Keyword,4,3,1,13,2,5
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CaselessLiteral,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CaselessKeyword,2,4,0,7,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CloseMatch,2,3,0,10,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Word,3,3,0,20,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Regex,3,3,0,19,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,QuotedString,3,3,0,24,3,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CharsNotIn,3,3,0,11,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,White,2,3,0,9,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_PositionToken,1,3,7,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,GoToColumn,3,4,0,10,2,3
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,LineStart,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,LineEnd,2,4,0,8,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,StringStart,2,4,0,6,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,StringEnd,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,WordStart,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,WordEnd,2,4,0,7,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseExpression,10,2,4,28,10,9
