arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\conftest.py,6,0,0,6,0,0,0.0,100.0
clones/scikit-learn/scikit-learn\setup.py,640,186,526,47,5,70,5.909090909090909,41.2795094629913
clones/scikit-learn/scikit-learn\.github\scripts\label_title_regex.py,24,16,15,0,2,7,0.0,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\cluster.py,104,50,73,0,6,25,1.6,67.43812051072628
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\common.py,256,162,174,6,0,65,1.8,39.26337134444619
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\datasets.py,168,99,133,2,0,33,1.1,48.74574212488085
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\decomposition.py,96,46,59,0,9,28,1.2,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\ensemble.py,121,58,78,0,9,34,1.4666666666666666,68.0507143656168
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,258,140,166,0,18,74,1.696969696969697,48.779442156465386
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\manifold.py,34,22,19,0,3,12,1.4,86.61352622843042
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\metrics.py,45,29,31,0,3,11,3.0,71.68982996362357
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\model_selection.py,84,51,51,0,6,27,1.4,72.33665390823778
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\neighbors.py,39,24,23,0,3,13,2.0,79.46836468481555
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\svm.py,30,18,19,0,0,10,1.2,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\utils.py,47,24,32,0,0,15,1.0,56.58813718062828
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\__init__.py,1,1,0,0,0,0,0.0,100.0
clones/scikit-learn/scikit-learn\benchmarks\bench_20newsgroups.py,94,61,81,2,0,11,0.0,54.47204830706895
clones/scikit-learn/scikit-learn\benchmarks\bench_covertype.py,235,88,158,9,34,33,1.0,63.84925859967711
clones/scikit-learn/scikit-learn\benchmarks\bench_feature_expansions.py,58,39,49,4,0,7,0.0,67.19419645806714
clones/scikit-learn/scikit-learn\benchmarks\bench_glm.py,56,37,36,0,4,16,0.0,68.83669612454594
clones/scikit-learn/scikit-learn\benchmarks\bench_glmnet.py,139,88,91,6,13,29,1.0,62.105511651235105
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting.py,292,177,257,1,0,34,6.5,33.37455885216169
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_adult.py,100,65,83,3,0,16,1.5,58.148723815515744
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_categorical_only.py,79,53,63,3,0,14,1.5,64.73602447075132
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_higgsboson.py,127,97,106,0,0,21,1.6666666666666667,42.2148493220621
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_threading.py,347,212,296,2,0,49,5.0,31.319357830602137
clones/scikit-learn/scikit-learn\benchmarks\bench_isolation_forest.py,164,115,108,11,19,27,2.0,60.91664092845531
clones/scikit-learn/scikit-learn\benchmarks\bench_isotonic.py,110,50,72,2,13,23,1.0,70.29070688245736
clones/scikit-learn/scikit-learn\benchmarks\bench_kernel_pca_solvers_time_vs_n_components.py,178,59,100,25,31,27,0.0,73.05846553931691
clones/scikit-learn/scikit-learn\benchmarks\bench_kernel_pca_solvers_time_vs_n_samples.py,182,60,100,25,33,29,0.0,72.96159535103544
clones/scikit-learn/scikit-learn\benchmarks\bench_lasso.py,98,59,68,2,10,20,3.0,68.17759767642276
clones/scikit-learn/scikit-learn\benchmarks\bench_lof.py,113,74,73,8,15,19,0.0,67.39182078536673
