arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\conftest.py,6,0,0,6,0,0,0.0,100.0
clones/scikit-learn/scikit-learn\setup.py,319,133,213,50,5,57,6.125,57.95909175360969
clones/scikit-learn/scikit-learn\.github\scripts\label_title_regex.py,23,16,15,0,2,6,0.0,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\cluster.py,104,50,73,0,6,25,1.6,66.39205233855799
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\common.py,256,162,174,6,0,65,1.8,39.26337134444619
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\datasets.py,167,99,133,2,0,32,1.1,48.74574212488085
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\decomposition.py,95,46,58,0,9,28,1.2,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\ensemble.py,121,58,78,0,9,34,1.4666666666666666,68.0507143656168
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,254,138,164,0,18,72,1.6666666666666667,49.393062956040296
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\manifold.py,34,22,19,0,3,12,1.4,86.61352622843042
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\metrics.py,45,29,31,0,3,11,3.0,71.68982996362357
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\model_selection.py,84,51,51,0,6,27,1.4,72.33665390823778
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\neighbors.py,39,24,23,0,3,13,2.0,79.46836468481555
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\svm.py,30,18,19,0,0,10,1.2,100.0
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\utils.py,47,24,32,0,0,15,1.0,56.58813718062828
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\__init__.py,1,1,0,0,0,0,0.0,100.0
clones/scikit-learn/scikit-learn\benchmarks\bench_20newsgroups.py,94,63,79,2,0,13,0.0,54.27980576067423
clones/scikit-learn/scikit-learn\benchmarks\bench_covertype.py,231,89,155,9,34,32,1.0,63.8840271225259
clones/scikit-learn/scikit-learn\benchmarks\bench_feature_expansions.py,57,39,49,4,0,6,0.0,67.19419645806714
clones/scikit-learn/scikit-learn\benchmarks\bench_glm.py,57,37,36,0,4,17,0.0,68.83669612454594
clones/scikit-learn/scikit-learn\benchmarks\bench_glmnet.py,137,88,91,6,13,27,1.0,62.105511651235105
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting.py,294,179,258,2,0,34,7.0,34.50790696539381
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_adult.py,85,57,68,4,0,15,1.5,63.766921845914354
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_categorical_only.py,80,53,63,3,0,15,1.5,64.73602447075132
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_higgsboson.py,116,89,96,0,0,20,1.6666666666666667,43.29929883205865
clones/scikit-learn/scikit-learn\benchmarks\bench_hist_gradient_boosting_threading.py,346,214,295,2,0,49,5.0,30.981755828269613
clones/scikit-learn/scikit-learn\benchmarks\bench_isolation_forest.py,164,115,108,11,19,27,2.0,60.91664092845531
clones/scikit-learn/scikit-learn\benchmarks\bench_isotonic.py,108,50,72,2,13,21,1.0,70.29070688245736
clones/scikit-learn/scikit-learn\benchmarks\bench_kernel_pca_solvers_time_vs_n_components.py,180,59,100,25,31,29,0.0,73.05846553931691
clones/scikit-learn/scikit-learn\benchmarks\bench_kernel_pca_solvers_time_vs_n_samples.py,184,60,100,25,33,31,0.0,72.96159535103544
clones/scikit-learn/scikit-learn\benchmarks\bench_lasso.py,98,59,70,2,10,18,3.0,67.93982044080362
clones/scikit-learn/scikit-learn\benchmarks\bench_lof.py,111,74,73,8,15,17,0.0,67.39182078536673
clones/scikit-learn/scikit-learn\benchmarks\bench_mnist.py,233,87,170,9,24,29,1.0,63.71472510296365
clones/scikit-learn/scikit-learn\benchmarks\bench_multilabel_metrics.py,228,89,168,1,31,28,3.6666666666666665,60.21181885232174
clones/scikit-learn/scikit-learn\benchmarks\bench_online_ocsvm.py,297,199,204,15,18,61,2.0,47.79243067946824
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_fastkmeans.py,142,99,114,2,0,27,3.0,43.59830175415428
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_hierarchical.py,78,54,59,0,0,19,4.0,44.87478597588353
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_incremental_pca.py,157,99,120,3,6,28,2.25,53.11031845076331
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_lasso_path.py,114,81,85,8,3,21,3.0,60.369388424087255
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_neighbors.py,190,110,144,6,3,37,11.5,47.1042290982276
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_nmf.py,477,228,312,34,59,75,3.4375,46.156580098295805
