,,,
repositorio,mean_complexity,mean_maintainbility_index,periodo
mitmproxy/mitmproxy,2.8446,68.660%,MT1
ccxt/ccxt,2.663,59.539%,MT1
hugginface/transformers,3.0783,67.448%,MT1
django/django,1.3173,84.332%,MT1
scikit-learn/scikit-learn,2.2106,63.800%,MT1
mitmproxy/mitmproxy,2.9071,68.500%,MT2
ccxt/ccxt,2.5159,63.530%,MT2
hugginface/transformers,3.6982,61.296%,MT2
django/django,1.3103,84.136%,MT2
scikit-learn/scikit-learn,2.1785,64.278%,MT2
mitmproxy/mitmproxy,2.96,67.110%,MT3
ccxt/ccxt,2.3537,73.138%,MT3
hugginface/transformers,3.3,60.900%,MT3
django/django,1.3059,83.812%,MT3
scikit-learn/scikit-learn,2.2539,63.888%,MT3
mitmproxy/mitmproxy,2.99,66.910%,MT4
ccxt/ccxt,2.6711,72.778%,MT4
hugginface/transformers,3.2689,60.452%,MT4
django/django,1.3052,83.635%,MT4
scikit-learn/scikit-learn,2.3214,63.280%,MT4
